qsort CPU 0.033042
set inverses CPU 0.019948
Scaling parameter is 1024
499<-130<-157<-0 adds 239 incremental flow
499<-115<-167<-0 adds 128 incremental flow
499<-11<-182<-0 adds 171 incremental flow
499<-153<-189<-0 adds 197 incremental flow
499<-196<-190<-0 adds 168 incremental flow
499<-203<-197<-0 adds 144 incremental flow
499<-99<-199<-0 adds 196 incremental flow
499<-247<-206<-0 adds 146 incremental flow
499<-159<-250<-0 adds 146 incremental flow
499<-279<-271<-0 adds 163 incremental flow
499<-207<-276<-0 adds 135 incremental flow
499<-232<-278<-0 adds 144 incremental flow
499<-281<-289<-0 adds 226 incremental flow
499<-288<-293<-0 adds 216 incremental flow
499<-233<-314<-0 adds 169 incremental flow
499<-267<-329<-0 adds 147 incremental flow
499<-296<-330<-0 adds 187 incremental flow
499<-320<-347<-0 adds 171 incremental flow
499<-371<-348<-0 adds 144 incremental flow
499<-359<-353<-0 adds 219 incremental flow
499<-310<-356<-0 adds 175 incremental flow
499<-345<-366<-0 adds 154 incremental flow
499<-175<-374<-0 adds 135 incremental flow
499<-326<-379<-0 adds 226 incremental flow
499<-318<-380<-0 adds 134 incremental flow
499<-383<-395<-0 adds 239 incremental flow
499<-437<-396<-0 adds 137 incremental flow
499<-384<-410<-0 adds 176 incremental flow
499<-403<-410<-0 adds 208 incremental flow
499<-368<-414<-0 adds 143 incremental flow
499<-334<-429<-0 adds 151 incremental flow
499<-467<-429<-0 adds 136 incremental flow
499<-480<-430<-0 adds 128 incremental flow
499<-423<-433<-0 adds 185 incremental flow
499<-370<-434<-0 adds 190 incremental flow
499<-327<-438<-0 adds 169 incremental flow
499<-404<-441<-0 adds 179 incremental flow
499<-378<-442<-0 adds 132 incremental flow
499<-390<-446<-0 adds 213 incremental flow
499<-491<-449<-0 adds 131 incremental flow
499<-447<-458<-0 adds 154 incremental flow
499<-376<-459<-0 adds 151 incremental flow
499<-413<-463<-0 adds 135 incremental flow
499<-425<-464<-0 adds 242 incremental flow
499<-367<-469<-0 adds 205 incremental flow
499<-465<-473<-0 adds 185 incremental flow
499<-450<-478<-0 adds 220 incremental flow
499<-468<-478<-0 adds 253 incremental flow
Scaling parameter is 64
499<-17<-0 adds 72 incremental flow
499<-77<-0 adds 106 incremental flow
499<-88<-0 adds 102 incremental flow
499<-332<-0 adds 74 incremental flow
499<-375<-0 adds 113 incremental flow
499<-484<-0 adds 118 incremental flow
499<-495<-0 adds 68 incremental flow
499<-75<-45<-0 adds 69 incremental flow
499<-81<-47<-0 adds 89 incremental flow
499<-100<-58<-0 adds 112 incremental flow
499<-87<-59<-0 adds 100 incremental flow
499<-73<-94<-0 adds 82 incremental flow
499<-20<-98<-0 adds 80 incremental flow
499<-96<-119<-0 adds 66 incremental flow
499<-86<-131<-0 adds 72 incremental flow
499<-84<-146<-0 adds 75 incremental flow
499<-152<-148<-0 adds 67 incremental flow
499<-18<-196<-0 adds 75 incremental flow
499<-197<-217<-0 adds 121 incremental flow
499<-117<-226<-0 adds 96 incremental flow
499<-144<-231<-0 adds 68 incremental flow
499<-247<-232<-0 adds 72 incremental flow
499<-171<-239<-0 adds 103 incremental flow
499<-227<-258<-0 adds 87 incremental flow
499<-222<-262<-0 adds 105 incremental flow
499<-155<-266<-0 adds 111 incremental flow
499<-170<-269<-0 adds 85 incremental flow
499<-228<-276<-0 adds 105 incremental flow
499<-162<-307<-0 adds 73 incremental flow
499<-234<-308<-0 adds 106 incremental flow
499<-182<-317<-0 adds 100 incremental flow
499<-263<-322<-0 adds 71 incremental flow
499<-274<-354<-0 adds 106 incremental flow
499<-267<-360<-0 adds 69 incremental flow
499<-325<-380<-0 adds 105 incremental flow
499<-265<-395<-0 adds 74 incremental flow
499<-424<-396<-0 adds 100 incremental flow
499<-238<-398<-0 adds 80 incremental flow
499<-341<-399<-0 adds 68 incremental flow
499<-346<-410<-0 adds 106 incremental flow
499<-455<-410<-0 adds 76 incremental flow
499<-320<-412<-0 adds 64 incremental flow
499<-331<-419<-0 adds 102 incremental flow
499<-402<-422<-0 adds 99 incremental flow
499<-339<-423<-0 adds 115 incremental flow
499<-482<-449<-0 adds 68 incremental flow
499<-477<-453<-0 adds 100 incremental flow
499<-351<-459<-0 adds 75 incremental flow
499<-431<-459<-0 adds 68 incremental flow
499<-413<-481<-0 adds 70 incremental flow
Scaling parameter is 32
499<-8<-1<-0 adds 32 incremental flow
499<-53<-33<-0 adds 42 incremental flow
499<-17<-38<-0 adds 44 incremental flow
499<-93<-40<-0 adds 34 incremental flow
499<-23<-69<-0 adds 37 incremental flow
499<-60<-81<-0 adds 32 incremental flow
499<-295<-84<-0 adds 40 incremental flow
499<-58<-85<-0 adds 32 incremental flow
499<-237<-113<-0 adds 51 incremental flow
499<-368<-121<-0 adds 32 incremental flow
499<-73<-125<-0 adds 40 incremental flow
499<-246<-127<-0 adds 40 incremental flow
499<-92<-130<-0 adds 33 incremental flow
499<-265<-131<-0 adds 34 incremental flow
499<-337<-147<-0 adds 56 incremental flow
499<-152<-167<-0 adds 37 incremental flow
499<-378<-168<-0 adds 36 incremental flow
499<-302<-176<-0 adds 34 incremental flow
499<-266<-179<-0 adds 48 incremental flow
499<-341<-189<-0 adds 50 incremental flow
499<-164<-190<-0 adds 34 incremental flow
499<-336<-197<-0 adds 42 incremental flow
499<-426<-210<-0 adds 55 incremental flow
499<-404<-213<-0 adds 50 incremental flow
499<-393<-231<-0 adds 35 incremental flow
499<-390<-232<-0 adds 33 incremental flow
499<-438<-241<-0 adds 39 incremental flow
499<-466<-261<-0 adds 42 incremental flow
499<-469<-307<-0 adds 40 incremental flow
499<-460<-314<-0 adds 35 incremental flow
499<-423<-322<-0 adds 36 incremental flow
Scaling parameter is 16
499<-82<-0 adds 22 incremental flow
499<-84<-1<-0 adds 24 incremental flow
499<-92<-63<-0 adds 18 incremental flow
499<-75<-77<-0 adds 21 incremental flow
499<-122<-85<-0 adds 17 incremental flow
499<-108<-116<-0 adds 29 incremental flow
499<-20<-131<-0 adds 19 incremental flow
499<-111<-137<-0 adds 17 incremental flow
499<-212<-172<-0 adds 19 incremental flow
499<-218<-183<-0 adds 16 incremental flow
499<-96<-190<-0 adds 17 incremental flow
499<-367<-196<-0 adds 20 incremental flow
499<-192<-198<-0 adds 24 incremental flow
499<-170<-199<-0 adds 29 incremental flow
499<-335<-204<-0 adds 20 incremental flow
499<-230<-219<-0 adds 20 incremental flow
499<-56<-233<-0 adds 22 incremental flow
499<-165<-233<-0 adds 26 incremental flow
499<-357<-242<-0 adds 16 incremental flow
499<-378<-258<-0 adds 17 incremental flow
499<-327<-271<-0 adds 21 incremental flow
499<-386<-278<-0 adds 24 incremental flow
499<-421<-283<-0 adds 21 incremental flow
499<-393<-292<-0 adds 28 incremental flow
499<-480<-308<-0 adds 18 incremental flow
Scaling parameter is 8
499<-384<-0 adds 8 incremental flow
499<-12<-18<-0 adds 10 incremental flow
499<-81<-73<-0 adds 12 incremental flow
499<-31<-84<-0 adds 9 incremental flow
499<-16<-113<-0 adds 11 incremental flow
499<-66<-121<-0 adds 8 incremental flow
499<-11<-125<-0 adds 10 incremental flow
499<-26<-137<-0 adds 10 incremental flow
499<-93<-145<-0 adds 10 incremental flow
499<-53<-153<-0 adds 10 incremental flow
